question,answer,correct_feedback,incorrect_feedback,hint,difficulty
"檸檬是什麼味道?","酸","答對了！","酸酸的","Sour","easy"
"章魚有幾隻腳?","8","正確！","八隻腳","Eight","easy"
"看書要用什麼器官?","眼睛","沒錯！","靈魂之窗","Eyes","easy"
"夏天常吃的冰涼甜點是?","冰淇淋","答對了！","甜甜的","Ice Cream","easy"
"一年有幾個季節?","4","正確！","春夏秋冬","Four","easy"
"草地是什麼顏色的?","綠色","答對了！","Green","跟樹葉一樣","easy"
"奧運幾年舉辦一次?","4","沒錯！","四年","Four Years","easy"
"蜜蜂製造什麼?","蜂蜜","正確！","甜甜的","Honey","easy"
"下雨天要撐什麼?","雨傘","答對了！","擋雨用的","Umbrella","easy"
"甜甜圈是什麼形狀?","圓形","沒錯！","中間有個洞","Circle","easy"
"德國的首都在哪裡?","柏林","答對了！","是柏林","Berlin","hard"
"世界面積最大的國家?","俄羅斯","正確！","橫跨歐亞","Russia","hard"
"哪顆行星有美麗的光環?","土星","沒錯！","是土星","Saturn","hard"
"陸地上最大的動物是?","非洲象","答對了！","有長鼻子","Elephant","hard"
"哈利波特的作者是?","JK羅琳","正確！","英國女作家","Rowling","hard"
"銀的化學符號是?","Ag","沒錯！","是 Ag","Silver","hard"
"一世紀有幾年?","100","答對了！","一百年","Century","hard"
"人體負責過濾血液的器官?","腎臟","正確！","有兩個","Kidney","hard"
"泡菜是哪個國家的代表食物?","韓國","沒錯！","Korea","辣辣的","hard"
"植物釋放什麼氣體?","氧氣","答對了！","O2","Oxygen","hard"